best_lb.0,time
312875.0,122.9
312742.0,123
312613.0,123.1
312485.0,123.2
312358.0,123.3
312231.0,123.4
312104.0,123.5
311977.0,123.6
311858.0,123.7
311742.0,123.8
311627.0,123.9
311515.0,124
311404.0,124.1
311295.0,124.2
311186.0,124.3
311080.0,124.4
310980.0,124.5
310885.0,124.6
310790.0,124.7
310697.0,124.8
310607.0,124.9
310518.0,125
310449.0,125.1
310382.0,125.2
310315.0,125.3
310252.0,125.4
310191.0,125.5
310138.0,125.6
310086.0,125.7
310036.0,125.8
309999.0,125.9
309974.0,126
309974.0,126.1
309993.0,126.2
310018.0,126.3
310055.0,126.4
310105.0,126.5
310157.0,126.6
310210.0,126.7
310271.0,126.8
310334.0,126.9
310401.0,127
310468.0,127.1
310537.0,127.2
310613.0,127.3
310702.0,127.4
310792.0,127.5
310885.0,127.6
310980.0,127.7
311075.0,127.8
311175.0,127.9
311281.0,128
311390.0,128.1
311499.0,128.2
311610.0,128.3
311722.0,128.4
311837.0,128.5
311953.0,128.6
312072.0,128.7
312199.0,128.8
312326.0,128.9
312453.0,129
312580.0,129.1
312708.0,129.2
312837.0,129.3
312973.0,129.4
313110.0,129.5
313250.0,129.6
313393.0,129.7
313543.0,129.8
313702.0,129.9
313861.0,130
313910.0,130.1
313751.0,130.2
313592.0,130.3
313442.0,130.4
313299.0,130.5
313159.0,130.6
313022.0,130.7
312886.0,130.8
312757.0,130.9
312629.0,131
312502.0,131.1
312375.0,131.2
312375.0,131.3
312248.0,131.4
312121.0,131.5
312002.0,131.6
311886.0,131.7
311771.0,131.8
311659.0,131.9
311548.0,132
311439.0,132.1
311330.0,132.2
311224.0,132.3
311124.0,132.4
311029.0,132.5
310934.0,132.6
310841.0,132.7
310751.0,132.8
310662.0,132.9
310593.0,133
310526.0,133.1
310459.0,133.2
310396.0,133.3
310335.0,133.4
310283.0,133.5
310233.0,133.6
310196.0,133.7
310171.0,133.8
310152.0,133.9
310152.0,134
310167.0,134.1
310186.0,134.2
310203.0,134.3
310249.0,134.4
310299.0,134.5
310360.0,134.6
310423.0,134.7
310488.0,134.8
310555.0,134.9
310624.0,135
310799.0,135.1
310875.0,135.2
310964.0,135.3
311054.0,135.4
311147.0,135.5
311242.0,135.6
311337.0,135.7
311433.0,135.8
311533.0,135.9
311639.0,136
311748.0,136.1
311857.0,136.2
311968.0,136.3
312080.0,136.4
312195.0,136.5
312314.0,136.6
312441.0,136.7
312568.0,136.8
312695.0,136.9
312822.0,137
312950.0,137.1
313079.0,137.2
313215.0,137.3
313352.0,137.4
313492.0,137.5
313635.0,137.6
313785.0,137.7
313944.0,137.8
314103.0,137.9
314266.0,138
314435.0,138.1
314606.0,138.2
314777.0,138.3
314951.0,138.4
315130.0,138.5
315313.0,138.6
315497.0,138.7
315686.0,138.8
315886.0,138.9
316089.0,139
316294.0,139.1
316503.0,139.2
316713.0,139.3
316923.0,139.4
317134.0,139.5
317347.0,139.6
317562.0,139.7
317779.0,139.8
317998.0,139.9
318223.0,140
318449.0,140.1
318675.0,140.2
318903.0,140.3
319133.0,140.4
319368.0,140.5
319606.0,140.6
319844.0,140.7
320089.0,140.8
320340.0,140.9
320592.0,141
320845.0,141.1
321102.0,141.2
321361.0,141.3
321625.0,141.4
321894.0,141.5
322167.0,141.6
322442.0,141.7
322717.0,141.8
322999.0,141.9
323282.0,142
323483.0,142.1
323200.0,142.2
323164.0,142.3
323075.0,142.4
323032.0,142.5
322858.0,142.6
322576.0,142.7
322301.0,142.8
322026.0,142.9
321753.0,143
321484.0,143.1
321220.0,143.2
320961.0,143.3
320704.0,143.4
320451.0,143.5
320199.0,143.6
319948.0,143.7
319703.0,143.8
319465.0,143.9
319227.0,144
318992.0,144.1
318762.0,144.2
318534.0,144.3
318308.0,144.4
318082.0,144.5
317857.0,144.6
317638.0,144.7
317421.0,144.8
317206.0,144.9
316993.0,145
